subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,roboBCFS_1,roboBCFS_2,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
8,936803250,1,194832.861532132,194975.723278271,194853.27038936,194989.931966648,OK,OK,0,0,f,j,20.3815567142447,14.1589557793632,68,73,vase,1,NOT STUDIED,match,7,159,162,NOT STUDIED,match,crowbar,f,f,p,0,0,195133.843671464,195143.710238945,195152.46077849,195155.469175165,OK,OK,3,4,0,0,,,0,0,NaN,NaN,water bottle,9.85253448711592,2,NaN,p,2.99469299224438,2,NaN
8,936803250,2,194858.553821667,194993.357033159,194862.362252934,194997.96548,OK,OK,8,0,NO RESPONSE,NO RESPONSE,NaN,NaN,108,109,ribbon,1,BINOCULAR,match,9,120,132,CFS,match,piggy bank,z,z,p,1,1,195159.960628474,195169.55253491,195173.661254919,195178.169732187,OK,OK,9,4,1,1,,,0,0,NaN,NaN,window,9.58194440166699,2,NaN,p,4.48884236480808,2,NaN
8,936803250,3,194866.070679914,195000.24051352,194869.679052502,195004.748962112,OK,OK,10,1,NO RESPONSE,NO RESPONSE,NaN,NaN,63,77,water bottle,1,BINOCULAR,match,11,169,21,CFS,mismatch,necklace,z,z,q,1,1,195181.061454377,195185.644591362,195191.34502342,195196.35347654,OK,OK,6,2,1,1,,,0,0,NaN,NaN,bandana ,4.56002303666901,2,NaN,q,4.97184345926507,2,NaN
8,936803250,4,194873.245833205,195007.015674116,194890.054568126,195012.824145225,OK,OK,0,0,j,f,16.7068486419157,5.7131046448194,134,149,drum,1,NOT STUDIED,mismatch,10,3,6,BINOCULAR,mismatch,balloon,f,f,q,0,0,195198.878558204,195211.278534599,195213.637269852,195218.145659283,OK,OK,9,3,0,0,,,0,0,NaN,NaN,boot,12.3893270646513,2,NaN,p,4.4302280304837,2,NaN
8,936803250,5,194896.104699156,195015.882584792,194906.913310623,195020.291015515,OK,OK,0,0,j,f,10.7028812144126,4.35771411700989,82,91,lamp,1,NOT STUDIED,mismatch,2,108,109,BINOCULAR,match,ribbon,f,f,p,0,0,195220.595740147,195225.687199251,195228.41257322,195231.420980761,OK,OK,5,5,0,0,,,0,0,NaN,NaN,boot,5.07919642084744,2,NaN,p,2.92603784269886,2,NaN
8,936803250,6,194910.530066605,195023.457739532,194918.138549969,195027.966167599,OK,OK,3,2,f,j,7.5808161116729,4.40605582046555,48,65,door,1,CFS,match,5,82,91,NOT STUDIED,mismatch,lamp,j,j,q,1,0,195233.696009753,195240.187543654,195242.7129172,195248.521400987,OK,OK,0,6,0.5,0.5,,3#,3.84565539193537,2.18593655725441,2.34671662001737,2.34671662001737,bottle,6.48202523530927,2,NaN,q,5.75260928386706,2,NaN
8,936803250,7,194920.980319217,195033.441332541,194932.788934608,195044.349890944,OK,OK,0,0,j,j,11.7536277029139,10.8854221187066,159,162,crowbar,1,NOT STUDIED,match,8,51,114,BINOCULAR,mismatch,boot,f,f,q,0,0,195250.879767991,195260.063003135,195262.405070604,195265.113490642,OK,OK,5,0,0,0,,,0,0,NaN,NaN,boot,9.16896278815693,2,NaN,q,2.67539899150142,2,NaN
8,936803250,8,194937.214040661,195047.416625163,194940.922445003,195051.725064278,OK,OK,9,3,NO RESPONSE,NO RESPONSE,NaN,NaN,51,114,boot,1,BINOCULAR,mismatch,3,63,77,BINOCULAR,match,water bottle,z,z,p,1,1,195266.905150593,195272.113318893,195274.447023494,195278.155428137,OK,OK,6,9,1,1,,,0,0,NaN,NaN,bottle,5.19883047818439,2,NaN,p,3.68859889803571,2,NaN
8,936803250,9,194944.672542045,195054.416794497,194947.18097464,195055.625153865,OK,OK,8,3,j,j,2.47650090040406,1.19715585192898,120,132,piggy bank,1,CFS,match,6,48,65,CFS,match,door,j,j,p,1,0,195280.022129335,195282.738566027,195285.222262267,195288.130655561,OK,OK,2,8,0.5,0.5,3#,3#,2.84566628764718,5.20345878480172,2.34671662001737,2.34671662001737,door,2.6971265731263,2,NaN,p,2.84874424157897,2,NaN
8,936803250,10,194953.472737821,195062.233667112,194957.88118273,195065.94207085,OK,OK,2,9,NO RESPONSE,NO RESPONSE,NaN,NaN,3,6,balloon,1,BINOCULAR,mismatch,1,68,73,NOT STUDIED,match,vase,z,z,p,1,1,195289.96407009,195296.363888019,195298.714257988,195302.622702898,OK,OK,3,9,1,1,,,0,0,NaN,NaN,bandana,6.3782853372395,2,NaN,p,3.8357450607873,2,NaN
