subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,roboBCFS_1,roboBCFS_2,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
10,944823002,1,340155.195842366,340229.884368959,340155.704219812,340230.592749934,OK,OK,6,4,j,j,0.49331825831905,0.696644512645435,151,97,key,1,CFS,match,12,122,32,NOT STUDIED,match,lure,j,j,p,0,1,340371.910927626,340379.152739749,340383.861761582,340386.770286939,OK,OK,7,7,0.538942075442316,0.538942075442316,2,2,3.24927452878295,1.78934192778079,2.30562945996748,2.30562945996748,fish hook  ,7.22175446432084,2,NaN,p,2.83862529351609,2,NaN
10,944823002,2,340161.137924307,340234.409687614,340162.746368344,340237.1182067,OK,OK,0,0,f,f,1.57485998317134,2.69894309499068,25,85,calculator,1,NOT STUDIED,match,2,25,85,NOT STUDIED,match,calculator,f,f,p,0,0,340389.378809571,340396.737314399,340399.921211657,340404.229838529,OK,OK,5,7,0,0,,,0,0,NaN,NaN,calculator ,7.33687938126968,2,NaN,q,4.29810412507504,2,NaN
10,944823002,3,340165.471563149,340239.24335922,340166.87998827,340241.651856784,OK,OK,0,0,f,f,1.33712934859796,2.39300101425033,146,147,hinge,1,NOT STUDIED,mismatch,4,171,173,CFS,match,binky,f,f,p,0,0,340406.671675978,340415.713659341,340419.655920663,340424.064559343,OK,OK,5,7,0,0,,,0,0,NaN,NaN,balloon,9.01894859882304,2,NaN,p,4.37036739633186,2,NaN
10,944823002,4,340170.313565559,340243.710339853,340171.321968942,340244.718737526,OK,OK,10,0,j,j,0.926848646136932,0.94984718906926,171,173,binky,1,CFS,match,5,72,89,BINOCULAR,mismatch,blanket,j,j,q,0,1,340425.789679303,340428.897893991,340431.156723248,340435.565359097,OK,OK,0,7,0.538942075442316,0.538942075442316,3,3,2.01352711135505,3.42475173840899,2.30562945996748,2.30562945996748,towel,3.08423001423944,2,NaN,q,4.32489267742494,2,NaN
10,944823002,5,340178.914161443,340250.277458748,340183.122784957,340254.286065614,OK,OK,4,6,NO RESPONSE,NO RESPONSE,NaN,NaN,72,89,blanket,1,BINOCULAR,mismatch,1,151,97,CFS,match,key,z,z,p,1,1,340437.632169946,340443.323912925,340446.591136092,340450.599744622,OK,OK,9,6,1,1,,,0,0,NaN,NaN,cork screw ,5.67294763948303,2,NaN,q,3.99358736700378,2,NaN
10,944823002,6,340186.914716524,340257.652970274,340191.023332623,340261.261557977,OK,OK,5,10,NO RESPONSE,NO RESPONSE,NaN,NaN,61,121,glass,1,BINOCULAR,mismatch,10,148,55,CFS,mismatch,jar,z,z,q,1,1,340452.499510255,340456.724796247,340459.250349694,340461.658849949,OK,OK,7,4,1,1,,,0,0,NaN,NaN,mason jar,4.21283273602603,2,NaN,q,2.35775021911832,2,NaN
10,944823002,7,340193.456835658,340263.736725884,340195.565313043,340264.145091361,OK,OK,0,4,j,j,2.02221699251095,0.394405624712817,22,83,broom,1,CFS,mismatch,3,146,147,NOT STUDIED,mismatch,hinge,j,j,q,0,1,340464.000682397,340472.95095095,340475.08479039,340478.593364203,OK,OK,5,6,0.538942075442316,0.538942075442316,3,2,3.18336364982853,3.33440375032392,2.30562945996748,2.30562945996748,no idea,8.93476846534759,2,NaN,q,3.43451310694218,2,NaN
10,944823002,8,340200.77401469,340271.603946418,340204.682620132,340275.91257478,OK,OK,7,3,NO RESPONSE,NO RESPONSE,NaN,NaN,36,46,table,1,BINOCULAR,match,7,22,83,CFS,mismatch,broom,z,z,q,1,1,340480.401830136,340485.876852919,340487.677338124,340491.385925434,OK,OK,6,5,1,1,,,0,0,NaN,NaN,nail ,5.46085987205151,2,NaN,p,3.68909643293591,2,NaN
10,944823002,9,340207.132791431,340279.479494303,340210.041328058,340281.687978519,OK,OK,0,0,f,f,2.8093694660347,2.15475844265893,50,80,dresser,1,NOT STUDIED,mismatch,9,50,80,NOT STUDIED,mismatch,dresser,f,f,q,0,0,340493.136049105,340498.194366711,340500.336551585,340503.74512068,OK,OK,8,5,0,0,,,0,0,NaN,NaN,desk ,5.04594162252033,2,NaN,q,3.30117269029142,2,NaN
10,944823002,10,340213.10820923,340284.379834017,340214.116609178,340285.588254852,OK,OK,9,5,j,j,0.961841651820578,1.17419171676738,148,55,jar,1,CFS,mismatch,11,3,6,BINOCULAR,match,balloon,j,j,p,0,1,340505.578587158,340510.053555307,340512.720755803,340514.729222618,OK,OK,0,0,0.538942075442316,0.538942075442316,2,3,3.57985127167891,3.89481281738746,2.30562945996748,2.30562945996748,balloon ,4.45875691185938,2,NaN,p,1.92446753167314,2,NaN
10,944823002,11,340219.408644307,340290.171899186,340223.017225966,340294.380524647,OK,OK,10,4,NO RESPONSE,NO RESPONSE,NaN,NaN,3,6,balloon,1,BINOCULAR,match,8,36,46,BINOCULAR,match,table,z,z,p,1,1,340516.412673943,340519.770890527,340522.796454369,340525.404967991,OK,OK,0,6,1,1,,,0,0,NaN,NaN,dsek ,3.33611452329205,2,NaN,p,2.60009625722887,2,NaN
10,944823002,12,340225.192377014,340296.822370085,340227.700897375,340297.930777897,OK,OK,0,0,f,f,2.42883900814923,1.03497694927501,122,32,lure,1,NOT STUDIED,match,6,61,121,BINOCULAR,mismatch,glass,f,f,q,0,0,340527.19676374,340532.688473925,340534.588942591,340535.497350947,OK,OK,10,0,0,0,,,0,0,NaN,NaN, no idea,5.47930431860732,2,NaN,p,0.839116820308845,2,NaN
10,944823002,13,340542.914529836,340622.045060215,340547.023145787,340625.653640539,OK,OK,5,10,NO RESPONSE,NO RESPONSE,NaN,NaN,48,65,door,2,BINOCULAR,match,13,48,65,BINOCULAR,match,door,z,z,p,1,1,340687.074586805,340691.299527702,340692.983334537,340694.991801366,OK,OK,9,8,1,1,,,0,0,NaN,NaN,door,4.21661508223042,2,NaN,p,1.923775713949,2,NaN
10,944823002,14,340562.440898324,340628.370500929,340563.44929438,340629.778927104,OK,OK,7,4,j,j,0.969588828040287,1.38830127386609,108,109,ribbon,2,CFS,match,22,40,88,BINOCULAR,match,cookie cutter,j,j,p,0,1,340696.76692708,340704.775461379,340708.884446655,340711.292940321,OK,OK,8,4,0.538942075442316,0.538942075442316,3,3#,3.4955982391459,2.38321259315953,2.30562945996748,2.30562945996748,drawer ,7.9955552284955,2,NaN,q,2.32582250388805,2,NaN
10,944823002,15,340568.84099876,340633.812545618,340572.749947485,340634.220906742,OK,OK,0,0,f,f,3.88099303672789,0.378024474950507,169,21,necklace,2,NOT STUDIED,mismatch,24,165,45,CFS,match,mouse trap,f,f,p,0,0,340712.959718906,340718.901426795,340720.710263948,340723.118761512,OK,OK,4,2,0,0,,,0,0,NaN,NaN,no idea ,5.92995159578277,2,NaN,p,2.32330795406597,2,NaN
10,944823002,16,340575.833501416,340636.671081174,340576.441875123,340637.079435965,OK,OK,4,6,j,j,0.584233961009886,0.351284398057032,167,126,nail clippers,2,CFS,mismatch,23,23,53,BINOCULAR,mismatch,bucket,j,j,q,0,1,340725.118900194,340731.127302292,340733.294480139,340735.202943739,OK,OK,0,2,0.538942075442316,0.538942075442316,3#,2@,3.78972339224463,3.3772435698508,2.30562945996748,2.30562945996748,bucket,5.99409611197189,2,NaN,q,1.88240848766873,2,NaN
10,944823002,17,340581.008861361,340641.288067122,340584.917461382,340644.99665621,OK,OK,7,9,NO RESPONSE,NO RESPONSE,NaN,NaN,5,49,basket,2,BINOCULAR,mismatch,18,18,39,NOT STUDIED,mismatch,box,z,z,q,1,1,340737.536438768,340743.178156983,340745.953690723,340749.262255414,OK,OK,9,10,1,1,,,0,0,NaN,NaN,bucket,5.62389210338006,2,NaN,p,3.27040116640273,2,NaN
10,944823002,18,340587.109286679,340647.605176601,340589.217768559,340649.013604413,OK,OK,0,0,f,f,2.09172335773474,1.38454011350404,18,39,box,2,NOT STUDIED,mismatch,14,108,109,CFS,match,ribbon,f,f,p,0,0,340751.212390013,340755.203959071,340757.487826926,340761.896469973,OK,OK,10,10,0,0,,,0,0,NaN,NaN,no idea ,3.97928030887851,2,NaN,q,4.39156029082369,2,NaN
