subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS_1,roboBCFS_2,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
8,231999040,1,247624.152968566,247800.343874559,247633.668951553,247806.357653907,OK,OK,9,10,j,j,9.43659794700216,5.93306617799681,56,99,1,CFS,4,53,23,Binocular,go,clothes pin,floss,j,j,0,1,247978.035690472,247985.30997344,247988.031978047,247990.543565226,Return,Return,4,1,1,3#,3#,0.1,0.1,NO RESPONSE,7.26426464316319,1,Return,2.41178787712124,1
8,231999040,2,247642.324431945,247809.889898938,247664.748518003,247822.20763077,OK,OK,0,0,f,f,22.3595890524448,12.2582844365388,184,181,1,Not Studied,5,141,155,CFS,go,mailbox,purse,f,f,0,0,247992.835029667,247999.158984693,248001.550517382,248003.56177117,Return,Return,5,1,1,,,0.1,0.1,purse ,6.29621854255674,1,Return,1.96457273911801,1
8,231999040,3,247667.440257247,247824.489106166,247684.160734806,247841.209591875,OK,OK,0,0,f,f,16.7067000228271,16.6820626098488,32,122,1,Not Studied,12,172,170,Binocular,go,chain,paint brush,f,f,0,0,248005.452974996,248017.590610605,248020.202256674,248023.914599438,Return,Return,7,1,1,,,0.1,0.1,NO RESPONSE,12.1253658016794,1,Return,3.66373803967144,1
8,231999040,4,247687.262678132,247844.331555551,247694.577279803,247847.643621702,OK,OK,6,7,j,j,7.23585564317182,3.29524236707948,172,170,1,CFS,3,56,99,Not Studied,go,paint brush,clothes pin,j,j,0,1,248026.426138321,248032.950244029,248035.271722696,248039.784584578,Return,Return,6,1,1,3#,3#,0.1,0.1,NO RESPONSE,6.49546760585508,1,Return,4.43358339404222,1
8,231999040,5,247699.280274041,247851.46603504,247716.50109284,247868.586796759,OK,OK,0,0,f,f,17.2011353095586,17.0398052599339,8,153,1,Not Studied,6,184,181,CFS,nogo,bed,mailbox,f,f,0,0,248041.485631295,248045.688287313,248048.01972786,248052.932834057,Return,OK,6,1,1,,,0.1,0.1, ,4.17931896517985,1,NO RESPONSE,NaN,1
8,231999040,6,247718.892585987,247871.518666413,247723.805689769,247876.431769591,OK,OK,0,7,NO RESPONSE,NO RESPONSE,NaN,NaN,61,121,1,Binocular,8,8,153,Not Studied,go,glass,bed,z,z,1,1,248054.713956442,248061.148003474,248063.429454117,248067.542047837,Return,Return,6,1,1,,,0.1,0.1, ,6.41422469363897,1,Return,4.01050792215392,1
8,231999040,7,247727.628086204,247878.583112406,247732.541175799,247883.496206227,OK,OK,10,4,NO RESPONSE,NO RESPONSE,NaN,NaN,153,8,1,Binocular,9,50,80,Binocular,nogo,knife,dresser,z,z,1,1,248069.343153143,248071.484230118,248073.785977605,248078.699066898,Return,OK,5,1,1,,,0.1,0.1,chest ,2.11251191922929,1,NO RESPONSE,NaN,1
8,231999040,8,247735.833240314,247886.237941411,247746.950239803,247891.751401856,OK,OK,7,8,f,j,11.0946259337361,5.49074700966594,53,23,1,CFS,1,61,121,Not Studied,go,floss,glass,j,j,0,1,248080.780385574,248083.442062296,248086.083726213,248086.994303832,Return,Return,9,1,1,,3#,0.1,0.1,wine glass ,2.634686405916,1,Return,0.875248458411079,1
8,231999040,9,247751.232936474,247896.484362931,247756.146059574,247901.397461883,OK,OK,10,2,NO RESPONSE,NO RESPONSE,NaN,NaN,85,25,1,Binocular,11,153,8,CFS,go,foot stool,knife,z,z,1,1,248088.715391426,248094.579050743,248096.59033049,248099.402072607,Return,Return,3,1,1,,,0.1,0.1,paint brush ,5.85106411878951,1,Return,2.73603056388674,1
8,231999040,10,247758.297388504,247903.238633246,247775.718388773,247916.4569455,OK,OK,0,0,f,f,17.3730876816262,13.1368266570207,143,128,1,Not Studied,10,143,128,CFS,go,high heel,high heel,f,f,0,0,248101.103176072,248106.806754386,248108.637900178,248110.048809377,Return,Return,2,1,1,,,0.1,0.1,highheel shoe ,5.67870545972255,1,Return,1.33583605324384,1
8,231999040,11,247779.240579258,247919.448838173,247787.555815111,247922.560782317,OK,OK,6,7,j,j,8.23732020819443,3.00630318367621,50,80,1,CFS,7,85,25,Not Studied,nogo,dresser,foot stool,j,j,0,1,248111.75989253,248114.221416758,248116.582953936,248121.496022402,Return,OK,8,1,1,3#,3#,0.1,0.1,stool,2.44559210291482,1,NO RESPONSE,NaN,1
8,231999040,12,247792.508932428,247926.24308731,247797.422001196,247931.15620709,OK,OK,3,4,NO RESPONSE,NO RESPONSE,NaN,NaN,141,155,1,Binocular,2,32,122,Binocular,go,purse,chain,z,z,1,1,248123.227076403,248125.608584126,248128.280280984,248131.092061738,Return,Return,7,1,1,,,0.1,0.1,chians,2.36982953755069,1,Return,2.73246604439919,1
8,231999040,13,248140.017666844,248243.52281863,248144.93077455,248248.435880757,OK,OK,8,6,NO RESPONSE,NO RESPONSE,NaN,NaN,69,30,2,Binocular,21,155,141,Binocular,go,umbrella,lamp,z,z,1,1,248336.381259303,248343.54574034,248345.867249193,248349.079264904,Return,Return,6,1,1,,,0.1,0.1,NO RESPONSE,7.14882872527232,1,Return,3.10256543377182,1
8,231999040,14,248148.402948871,248250.257031467,248151.114655038,248252.868718889,OK,OK,5,1,j,j,2.60876644201926,2.52567984402413,81,96,2,CFS,22,16,13,CFS,go,stroller,book,j,j,0,1,248351.150560727,248353.071449162,248355.143091204,248356.553950296,Return,Return,5,1,1,3#,3#,0.1,0.1,book,1.90702396581764,1,Return,1.33849804810598,1
8,231999040,15,248155.417372965,248256.190785556,248163.932706979,248262.404720717,OK,OK,0,0,f,f,8.48976479723933,6.16744548402494,155,141,2,Not Studied,13,161,163,Binocular,go,lamp,pen,f,f,0,0,248358.00486005,248359.405763601,248361.136869519,248362.34759936,Return,Return,2,1,1,,,0.1,0.1,pen,1.37243599243811,1,Return,1.11237910622731,1
8,231999040,16,248166.264187974,248264.576085693,248176.180452403,248273.991968436,OK,OK,0,0,f,f,9.84236245328793,9.39748542755842,177,179,2,Not Studied,23,45,165,Not Studied,go,paper towel,cutting board,f,f,0,0,248363.968628063,248373.954904557,248376.066232932,248379.678498694,Return,Return,4,1,1,,,0.1,0.1,coin,9.96797395899193,1,Return,3.51015400569304,1
8,231999040,17,248179.322408962,248276.463570152,248184.235498859,248281.376645862,OK,OK,10,5,NO RESPONSE,NO RESPONSE,NaN,NaN,107,64,2,Binocular,18,147,146,CFS,nogo,ring,hole punch,z,z,1,1,248381.419608751,248383.891192356,248386.312697918,248391.225763063,Return,OK,6,1,1,,,0.1,0.1,holepuncher,2.460433954373,1,NO RESPONSE,NaN,1
8,231999040,18,248186.476927516,248283.728105553,248187.987841876,248286.439847941,OK,OK,3,3,j,j,1.41298560882569,2.65288933145348,110,102,2,CFS,19,107,64,Not Studied,go,lazy chair,ring,j,j,0,1,248392.956874114,248394.547822486,248396.979397385,248398.190176125,Return,Return,7,1,1,2@,3#,0.1,0.1,ring,1.57065183107625,1,Return,1.1560416779248,1
8,231999040,19,248192.320561352,248289.591826145,248197.733984942,248296.906409102,OK,OK,0,0,f,f,5.31287540419726,7.30058205290698,25,85,2,Not Studied,20,110,102,Binocular,nogo,calculator,lazy chair,f,f,0,0,248400.071348948,248406.575134269,248409.117038729,248414.030133758,Return,OK,9,1,1,,,0.1,0.1, ,6.4796302607283,1,NO RESPONSE,NaN,1
8,231999040,20,248201.096137889,248299.017727817,248206.009203035,248303.930816507,OK,OK,5,0,NO RESPONSE,NO RESPONSE,NaN,NaN,16,13,2,Binocular,14,25,85,Not Studied,go,book,calculator,z,z,1,1,248415.671149004,248418.673051249,248421.594905897,248422.905746244,Return,Return,10,1,1,,,0.1,0.1,calculator,2.9832269269973,1,Return,1.20322952891001,1
8,231999040,21,248208.140536667,248305.882061765,248213.353844891,248309.694463721,OK,OK,2,0,j,j,5.14007514197147,3.70579115941655,147,146,2,CFS,17,69,30,CFS,go,hole punch,umbrella,j,j,0,1,248424.326633321,248427.368514387,248429.880109414,248430.690622105,Return,Return,7,1,1,3#,3#,0.1,0.1,umbrella,3.03123218155815,1,Return,0.741728241089731,1
8,231999040,22,248216.816020808,248313.596914694,248222.929846369,248318.910286638,OK,OK,0,0,f,f,6.07218657567864,5.27048723350163,45,165,2,Not Studied,16,81,96,CFS,go,cutting board,stroller,f,f,0,0,248432.161572132,248434.432670908,248436.724445649,248437.935208693,Return,Return,6,1,1,,,0.1,0.1,stroller,2.24397896844312,1,Return,1.17701979124104,1
8,231999040,23,248226.051849587,248321.211734088,248233.066207878,248324.523808388,OK,OK,9,2,f,j,6.94786003560876,3.23136807337869,161,163,2,CFS,15,177,179,Not Studied,nogo,pen,paper towel,j,j,0,1,248439.336084172,248450.552815349,248452.544379611,248457.457457736,Return,OK,2,1,1,,3#,0.1,0.1,toilet paper or roll of paper ,11.2046744738473,1,NO RESPONSE,NaN,1
8,231999040,24,248235.898038262,248328.576395087,248240.811099181,248333.48944997,OK,OK,0,0,NO RESPONSE,NO RESPONSE,NaN,NaN,4,34,2,Binocular,24,4,34,Binocular,go,bandana,bandana,z,z,1,1,248459.20824654,248461.629802208,248464.181727408,248465.092310158,Return,Return,6,1,1,,,0.1,0.1,bandana,2.3959266860038,1,Return,0.894344249449205,1
8,231999040,25,248470.855913302,248580.604989422,248473.567611621,248583.016521332,OK,OK,0,7,j,j,2.62779310994665,2.34526245505549,95,66,3,CFS,26,111,125,Binocular,go,shoe,kid toy,j,j,0,1,248682.118886943,248686.931914629,248689.04324904,248691.65490175,Return,Return,4,1,1,3#,3#,0.1,0.1,NO RESPONSE,4.8020938571135,1,Return,2.58150808545179,1
8,231999040,26,248477.600164688,248586.218517813,248483.513852546,248592.132268153,OK,OK,0,0,f,f,5.83506679435959,5.8352874450502,113,76,3,Not Studied,34,95,66,CFS,go,radio,shoe,f,f,0,0,248693.896297808,248695.42728021,248697.918834059,248698.929469663,Return,Return,8,1,1,,,0.1,0.1,shoe,1.52023088934948,1,Return,0.961572372965747,1
8,231999040,27,248486.535770613,248594.353655029,248493.350064248,248601.267993972,OK,OK,8,1,f,f,6.7149525389832,6.81168838811573,78,98,3,CFS,36,122,32,Binocular,go,sweater,lure,j,j,0,1,248700.470469183,248704.573028882,248706.414177605,248708.22532146,Return,Return,2,1,1,,,0.1,0.1,fishhook,4.07363423725474,1,Return,1.76983207307057,1
